edad,genero,año,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad e indemnidad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas bancarias,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES
14-17 años,Femenino,2011,5867.0,3.0,1.0,2692.0,1511.0,1661.0,650.0,260.0,390.0,1245.0,241.0,173.0,112.0,6.0,713.0,116.0,5203.0,3850.0,72.0,16.0,24.0,4.0,1166.0,757.0,27.0,44.0,23.0,32.0,0.0,15.0,0.0,0.0,45.0,3.0,0.0,1.0,2.0,30.0,0.0,211.0,3.0,0.0,26.0
18-30 años,Masculino,2011,41431.0,208.0,39.0,27399.0,1791.0,12033.0,2841.0,243.0,2598.0,215.0,53.0,29.0,10.0,7.0,116.0,201.0,102501.0,45998.0,20328.0,14916.0,2525.0,1328.0,11164.0,7844.0,384.0,881.0,5908.0,7643.0,463.0,10444.0,12.0,4.0,1000.0,237.0,51.0,131.0,55.0,954.0,6.0,826.0,1308.0,0.0,694.0
18-30 años,Femenino,2011,42525.0,59.0,23.0,12320.0,16668.0,13478.0,6421.0,3073.0,3348.0,2601.0,768.0,467.0,8.0,5.0,1353.0,1172.0,90858.0,59866.0,9843.0,6298.0,1916.0,881.0,6949.0,4234.0,305.0,1181.0,2170.0,5260.0,323.0,5916.0,8.0,1.0,845.0,106.0,16.0,51.0,39.0,905.0,9.0,3055.0,193.0,0.0,477.0
31-40 años,Masculino,2011,35535.0,195.0,44.0,16481.0,1745.0,17114.0,2788.0,246.0,2542.0,135.0,22.0,11.0,15.0,15.0,72.0,423.0,109233.0,41285.0,27060.0,15687.0,4938.0,3158.0,6826.0,4216.0,338.0,1025.0,6560.0,9731.0,658.0,16154.0,35.0,7.0,1575.0,235.0,28.0,115.0,92.0,1154.0,10.0,764.0,1845.0,1.0,667.0
31-40 años,Femenino,2011,37799.0,59.0,19.0,7562.0,15435.0,14743.0,6143.0,3111.0,3032.0,1237.0,320.0,226.0,5.0,19.0,667.0,2323.0,70795.0,37301.0,11357.0,5830.0,2911.0,1575.0,4907.0,2686.0,263.0,1126.0,2109.0,5542.0,425.0,8543.0,7.0,5.0,1024.0,76.0,9.0,31.0,36.0,883.0,9.0,2860.0,177.0,0.0,314.0
41-64 años,Masculino,2011,44782.0,219.0,66.0,18075.0,2621.0,23867.0,3602.0,497.0,3105.0,128.0,16.0,13.0,14.0,22.0,63.0,366.0,160204.0,58598.0,41678.0,18345.0,9831.0,6326.0,8295.0,4909.0,588.0,1295.0,9337.0,12664.0,925.0,26870.0,120.0,6.0,2636.0,309.0,24.0,114.0,171.0,1519.0,20.0,978.0,1159.0,2.0,612.0
41-64 años,Femenino,2011,38556.0,77.0,29.0,8352.0,13502.0,16625.0,6182.0,3195.0,2987.0,833.0,259.0,161.0,6.0,11.0,396.0,1690.0,101763.0,53534.0,15554.0,5755.0,5587.0,2352.0,8778.0,5584.0,627.0,1122.0,2504.0,7043.0,522.0,12892.0,14.0,0.0,1444.0,116.0,10.0,41.0,65.0,942.0,7.0,2832.0,159.0,4.0,301.0
65 y más años,Masculino,2011,6728.0,55.0,29.0,2367.0,725.0,3581.0,675.0,228.0,447.0,6.0,1.0,0.0,0.0,1.0,4.0,16.0,35658.0,16619.0,6956.0,2007.0,3116.0,596.0,2362.0,1383.0,470.0,106.0,1321.0,2416.0,157.0,5394.0,6.0,1.0,583.0,64.0,3.0,31.0,30.0,227.0,2.0,224.0,106.0,0.0,53.0
65 y más años,Femenino,2011,5512.0,28.0,18.0,1320.0,1778.0,2386.0,954.0,541.0,413.0,52.0,21.0,9.0,0.0,0.0,22.0,44.0,34021.0,21002.0,2471.0,350.0,1651.0,190.0,5882.0,3895.0,1122.0,90.0,228.0,1839.0,101.0,2243.0,0.0,2.0,354.0,8.0,0.0,3.0,5.0,130.0,0.0,427.0,18.0,0.0,24.0
0-13 años,Masculino,2010,3239.0,13.0,8.0,1893.0,428.0,905.0,212.0,81.0,131.0,410.0,39.0,33.0,44.0,33.0,261.0,333.0,1808.0,555.0,132.0,49.0,34.0,22.0,914.0,727.0,32.0,18.0,34.0,64.0,14.0,88.0,1.0,0.0,20.0,25.0,6.0,8.0,11.0,13.0,1.0,8.0,77.0,0.0,31.0
0-13 años,Femenino,2010,2333.0,12.0,6.0,957.0,456.0,908.0,197.0,77.0,120.0,1339.0,145.0,74.0,84.0,80.0,956.0,308.0,871.0,480.0,50.0,14.0,17.0,11.0,258.0,199.0,14.0,17.0,8.0,31.0,2.0,34.0,0.0,0.0,10.0,3.0,1.0,2.0,0.0,14.0,2.0,41.0,5.0,0.0,11.0
14-17 años,Masculino,2010,6198.0,16.0,1.0,4625.0,397.0,1160.0,375.0,77.0,298.0,238.0,31.0,15.0,46.0,21.0,125.0,106.0,6900.0,2536.0,119.0,39.0,33.0,10.0,3927.0,3196.0,74.0,69.0,175.0,54.0,1.0,46.0,1.0,0.0,42.0,24.0,16.0,6.0,2.0,18.0,1.0,40.0,14.0,0.0,25.0
14-17 años,Femenino,2010,5563.0,2.0,0.0,2636.0,1363.0,1562.0,538.0,204.0,334.0,1334.0,270.0,184.0,97.0,63.0,720.0,100.0,5003.0,3713.0,67.0,18.0,20.0,2.0,1091.0,835.0,27.0,47.0,38.0,26.0,1.0,34.0,0.0,0.0,34.0,12.0,6.0,5.0,1.0,34.0,1.0,190.0,5.0,0.0,19.0
18-30 años,Masculino,2010,41436.0,243.0,38.0,26992.0,1719.0,12482.0,3092.0,241.0,2851.0,232.0,43.0,39.0,14.0,30.0,106.0,147.0,112472.0,48651.0,24775.0,18080.0,2779.0,1577.0,11187.0,8543.0,440.0,982.0,6823.0,7517.0,862.0,12541.0,18.0,7.0,953.0,213.0,54.0,106.0,53.0,829.0,3.0,466.0,2901.0,0.0,664.0
18-30 años,Femenino,2010,43335.0,78.0,19.0,12610.0,16705.0,13942.0,5964.0,2950.0,3014.0,2564.0,744.0,441.0,12.0,14.0,1353.0,1104.0,95641.0,61097.0,11701.0,7283.0,2000.0,1073.0,7244.0,4677.0,326.0,1569.0,2585.0,5256.0,639.0,6958.0,3.0,2.0,795.0,89.0,6.0,45.0,38.0,702.0,6.0,2899.0,326.0,1.0,485.0
31-40 años,Masculino,2010,34965.0,176.0,37.0,16249.0,1617.0,16923.0,2797.0,246.0,2551.0,146.0,13.0,19.0,6.0,45.0,63.0,351.0,116770.0,42402.0,30802.0,17707.0,5051.0,3880.0,7216.0,4918.0,338.0,1227.0,6838.0,10374.0,1503.0,17695.0,25.0,10.0,1408.0,202.0,32.0,91.0,79.0,947.0,7.0,539.0,2689.0,0.0,563.0
31-40 años,Femenino,2010,37531.0,54.0,20.0,7936.0,15136.0,14405.0,5432.0,2985.0,2447.0,1234.0,315.0,228.0,10.0,23.0,658.0,1998.0,73306.0,37600.0,12706.0,6268.0,2879.0,1869.0,5147.0,3047.0,259.0,1412.0,2266.0,5656.0,768.0,9035.0,15.0,5.0,876.0,85.0,11.0,30.0,44.0,610.0,7.0,2805.0,234.0,0.0,343.0
41-64 años,Masculino,2010,41836.0,200.0,71.0,16818.0,2273.0,22545.0,3466.0,511.0,2955.0,148.0,11.0,14.0,10.0,49.0,64.0,272.0,168229.0,59176.0,45218.0,20227.0,9477.0,7231.0,8640.0,5618.0,567.0,1506.0,9983.0,13798.0,2093.0,28891.0,52.0,12.0,2459.0,295.0,28.0,86.0,181.0,1124.0,15.0,780.0,968.0,0.0,563.0
41-64 años,Femenino,2010,36993.0,88.0,50.0,8140.0,12783.0,15982.0,5414.0,2954.0,2460.0,764.0,220.0,153.0,10.0,19.0,362.0,1362.0,106274.0,56276.0,16856.0,6057.0,5386.0,2762.0,8890.0,6278.0,586.0,1335.0,2581.0,7201.0,1003.0,13233.0,8.0,5.0,1224.0,81.0,5.0,25.0,51.0,666.0,8.0,2743.0,165.0,0.0,286.0
65 y más años,Masculino,2010,6295.0,35.0,18.0,2242.0,621.0,3397.0,565.0,183.0,382.0,9.0,2.0,0.0,0.0,4.0,3.0,16.0,36055.0,17039.0,6980.0,2169.0,2810.0,655.0,2024.0,1269.0,470.0,120.0,1364.0,2505.0,364.0,5630.0,1.0,1.0,511.0,34.0,0.0,7.0,27.0,175.0,1.0,140.0,59.0,0.0,57.0
65 y más años,Femenino,2010,5057.0,32.0,22.0,1190.0,1587.0,2248.0,861.0,512.0,349.0,36.0,11.0,7.0,1.0,0.0,17.0,36.0,33600.0,22388.0,2567.0,362.0,1526.0,168.0,4344.0,3308.0,692.0,110.0,210.0,1696.0,161.0,2080.0,1.0,0.0,314.0,18.0,0.0,4.0,14.0,103.0,1.0,372.0,17.0,0.0,27.0
edad,genero,año,1. CONTRA LAS PERSONAS,1.1.-Homicidios dolosos/asesinatos,1.1.1.-Homicidios dolosos/asesinatos consumados,1.2.-Lesiones,1.3.-Malos tratos ámbito familiar,1.4.-Otros contra las personas,2. CONTRA LA LIBERTAD,2.1.-Malos tratos habituales en el ámbito familiar,2.2.-Otros contra la libertad,3. LIBERTAD SEXUAL,3.1.-Agresión sexual,3.2.-Agresión sexual con penetración,3.3.-Corrupción de menores o incapacitados,3.4.-Pornografía de menores,3.5.-Otros contra la libertad e indemnidad sexual,4. RELACIONES FAMILIARES,5. PATRIMONIO,5.1.-Hurtos,5.2.-Robos con fuerza en las cosas,5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5.2.2.-Robos con fuerza en viviendas,5.2.3.-Robos con fuerza en establecimientos,5.3.-Robos con violencia o intimidación,5.3.1.-Robos con violencia en vía pública,5.3.2.-Robos con violencia en viviendas,5.3.3.-Robos con violencia en establecimientos,5.4.-Sustracción de vehículos,5.5.-Estafas,5.5.1.-Estafas bancarias,5.6.-Daños,5.7.-Contra la propiedad intelectual/industrial,5.8.-Blanqueo de capitales,5.9.-Otros contra el patrimonio,6. SEGURIDAD COLECTIVA,6.1.-Tráfico de drogas,6.2.-Contra la seguridad vial,6.3.-Otros contra la seguridad colectiva,7. FALSEDADES,8. ADMÓN. PÚBLICA,9. ADMÓN. JUSTICIA,10. ORDEN PÚBLICO,11. LEGISLACIÓN ESPECIAL,12. OTRAS INFRACCIONES PENALES
desconocida,Masculino,2019,811.0,13.0,2.0,754.0,35.0,9.0,497.0,7.0,490.0,18.0,0.0,1.0,2.0,2.0,13.0,27.0,928.0,535.0,88.0,24.0,24.0,12.0,85.0,34.0,6.0,21.0,16.0,59.0,9.0,89.0,12.0,0.0,44.0,98.0,11.0,74.0,13.0,23.0,3.0,227.0,6818.0,0.0,130.0
desconocida,Femenino,2019,,194.0,2.0,1.0,103.0,79.0,10.0,176.0,11.0,165.0,61.0,6.0,1.0,3.0,0.0,51.0,10.0,401.0,226.0,46.0,13.0,18.0,2.0,26.0,9.0,3.0,7.0,5.0,36.0,6.0,41.0,1.0,0.0,20.0,7.0,0.0,5.0,2.0,8.0,5.0,75.0,218.0,23.0
desconocida,Masculino,2018,957,18.0,2.0,863.0,44.0,32.0,608.0,5.0,603.0,17.0,2.0,1.0,0.0,0.0,14.0,13.0,1236.0,850.0,102.0,21.0,37.0,21.0,78.0,31.0,2.0,27.0,15.0,70.0,9.0,69.0,9.0,1.0,42.0,74.0,15.0,52.0,7.0,13.0,3.0,215.0,7855.0,0.0,94.0
desconocida,Femenino,2018,158.0,2.0,1.0,79.0,75.0,2.0,150.0,8.0,142.0,42.0,4.0,1.0,2.0,1.0,34.0,16.0,509.0,324.0,37.0,9.0,19.0,6.0,31.0,18.0,3.0,5.0,3.0,56.0,14.0,30.0,3.0,0.0,25.0,12.0,1.0,6.0,5.0,12.0,0.0,34.0,260.0,0.0,15.0
desconocida,Masculino,2017,850.0,7.0,2.0,782.0,44.0,17.0,538.0,2.0,536.0,27.0,2.0,0.0,6.0,1.0,18.0,18.0,1168.0,731.0,120.0,45.0,41.0,20.0,73.0,31.0,7.0,22.0,24.0,80.0,11.0,81.0,11.0,0.0,48.0,85.0,15.0,64.0,6.0,26.0,2.0,246.0,8217.0,0.0,79.0
desconocida,Femenino,2017,145.0,1.0,0.0,62.0,76.0,6.0,100.0,10.0,90.0,44.0,3.0,0.0,5.0,2.0,34.0,13.0,436.0,252.0,50.0,13.0,19.0,11.0,27.0,12.0,1.0,7.0,9.0,48.0,11.0,28.0,10.0,0.0,12.0,6.0,0.0,6.0,0.0,7.0,0.0,37.0,246.0,0.0,13.0
desconocida,Masculino,2016,254.0,11.0,0.0,179.0,51.0,13.0,546.0,4.0,542.0,35.0,2.0,0.0,13.0,5.0,15.0,32.0,857.0,491.0,92.0,19.0,36.0,17.0,58.0,26.0,3.0,20.0,26.0,80.0,9.0,71.0,12.0,1.0,26.0,117.0,20.0,94.0,3.0,19.0,2.0,294.0,7819.0,0.0,110.0
desconocida,Femenino,2016,119.0,1.0,1.0,47.0,64.0,7.0,502.0,12.0,490.0,54.0,3.0,3.0,8.0,1.0,39.0,16.0,391.0,232.0,38.0,7.0,14.0,6.0,43.0,20.0,7.0,13.0,5.0,48.0,4.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,46.0,232.0,0.0,15.0
desconocida,Masculino,2015,554.0,20.0,2.0,209.0,35.0,290.0,436.0,12.0,424.0,20.0,0.0,0.0,5.0,1.0,14.0,20.0,848.0,423.0,113.0,13.0,41.0,27.0,55.0,35.0,1.0,9.0,17.0,61.0,3.0,80.0,15.0,0.0,84.0,126.0,21.0,92.0,13.0,28.0,7.0,110.0,9550.0,0.0,82.0
desconocida,Femenino,2015,195.0,0.0,0.0,53.0,78.0,64.0,74.0,10.0,64.0,56.0,3.0,3.0,4.0,1.0,45.0,19.0,345.0,191.0,45.0,14.0,24.0,3.0,31.0,13.0,2.0,8.0,2.0,36.0,5.0,20.0,1.0,1.0,18.0,10.0,3.0,7.0,0.0,6.0,1.0,47.0,307.0,0.0,17.0
desconocida,Masculino,2014,963.0,14.0,5.0,218.0,38.0,693.0,326.0,7.0,319.0,35.0,1.0,0.0,10.0,8.0,16.0,35.0,1206.0,465.0,227.0,67.0,74.0,30.0,83.0,50.0,3.0,15.0,46.0,141.0,9.0,135.0,14.0,1.0,94.0,164.0,23.0,119.0,22.0,27.0,1.0,42.0,12540.0,0.0,69.0
desconocida,Femenino,2014,283.0,5.0,3.0,68.0,53.0,157.0,58.0,14.0,44.0,71.0,6.0,0.0,9.0,6.0,50.0,26.0,500.0,266.0,88.0,30.0,38.0,11.0,42.0,23.0,8.0,5.0,8.0,38.0,7.0,42.0,0.0,0.0,16.0,6.0,0.0,6.0,0.0,6.0,0.0,46.0,376.0,0.0,25.0
desconocida,Masculino,2013,1095.0,10.0,1.0,245.0,38.0,802.0,398.0,8.0,390.0,36.0,0.0,0.0,12.0,0.0,24.0,52.0,1588.0,606.0,292.0,89.0,84.0,44.0,134.0,80.0,8.0,20.0,53.0,208.0,9.0,167.0,13.0,5.0,110.0,160.0,23.0,115.0,22.0,30.0,8.0,53.0,13451.0,2.0,85.0
desconocida,Femenino,2013,306.0,2.0,2.0,71.0,57.0,176.0,59.0,10.0,49.0,59.0,6.0,1.0,5.0,0.0,47.0,35.0,796.0,388.0,144.0,57.0,51.0,10.0,75.0,42.0,10.0,14.0,24.0,84.0,1.0,54.0,1.0,0.0,26.0,8.0,1.0,5.0,2.0,2.0,0.0,52.0,399.0,0.0,9.0
desconocida,Masculino,2012,1398.0,22.0,6.0,383.0,61.0,932.0,404.0,17.0,387.0,28.0,1.0,0.0,8.0,0.0,19.0,92.0,1915.0,759.0,370.0,105.0,82.0,67.0,202.0,131.0,9.0,24.0,69.0,102.0,16.0,282.0,14.0,1.0,116.0,313.0,37.0,251.0,25.0,45.0,3.0,70.0,14409.0,0.0,72.0
desconocida,Femenino,2012,510.0,4.0,3.0,128.0,147.0,231.0,133.0,60.0,73.0,102.0,6.0,1.0,12.0,6.0,77.0,75.0,788.0,398.0,116.0,38.0,45.0,13.0,102.0,66.0,8.0,16.0,17.0,44.0,3.0,79.0,2.0,0.0,30.0,4.0,0.0,2.0,2.0,10.0,0.0,63.0,404.0,0.0,29.0
desconocida,Masculino,2011,1730.0,26.0,2.0,512.0,86.0,1106.0,518.0,20.0,498.0,56.0,1.0,3.0,12.0,5.0,35.0,70.0,2989.0,1104.0,616.0,235.0,112.0,101.0,310.0,198.0,20.0,40.0,147.0,194.0,14.0,435.0,57.0,2.0,124.0,427.0,101.0,300.0,26.0,57.0,6.0,96.0,14442.0,1.0,94.0
desconocida,Femenino,2011,675.0,1.0,0.0,171.0,228.0,275.0,124.0,40.0,84.0,134.0,11.0,6.0,15.0,2.0,100.0,70.0,1078.0,531.0,201.0,99.0,60.0,13.0,115.0,56.0,10.0,28.0,40.0,73.0,6.0,86.0,5.0,0.0,27.0,16.0,5.0,6.0,5.0,15.0,0.0,120.0,369.0,0.0,25.0
desconocida,Masculino,2010,2570.0,14.0,5.0,862.0,168.0,1526.0,554.0,28.0,526.0,95.0,8.0,1.0,20.0,17.0,49.0,119.0,8590.0,3579.0,1665.0,761.0,252.0,298.0,533.0,349.0,32.0,88.0,589.0,621.0,67.0,1243.0,110.0,1.0,249.0,575.0,82.0,415.0,78.0,162.0,15.0,176.0,11902.0,0.0,133.0
desconocida,Femenino,2010,1209.0,2.0,1.0,311.0,392.0,504.0,170.0,52.0,118.0,203.0,24.0,3.0,17.0,14.0,145.0,95.0,3036.0,1646.0,476.0,243.0,111.0,52.0,246.0,144.0,18.0,57.0,118.0,182.0,32.0,294.0,18.0,1.0,55.0,22.0,0.0,15.0,7.0,54.0,0.0,187.0,301.0,0.0,81.0
Edad desconocida,Se desconoce,2019,47.0,1.0,0.0,36.0,9.0,1.0,49.0,0.0,49.0,6.0,1.0,0.0,3.0,1.0,1.0,0.0,280.0,114.0,57.0,3.0,8.0,13.0,5.0,1.0,0.0,2.0,4.0,23.0,2.0,54.0,7.0,0.0,16.0,33.0,0.0,33.0,0.0,6.0,0.0,12.0,424.0,0.0,4.0
Edad desconocida,Se desconoce,2018,45.0,0.0,0.0,26.0,12.0,7.0,36.0,0.0,36.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,284.0,112.0,44.0,2.0,10.0,13.0,5.0,0.0,1.0,2.0,5.0,31.0,2.0,43.0,5.0,1.0,38.0,39.0,0.0,38.0,1.0,3.0,0.0,14.0,470.0,0.0,10.0
Edad desconocida,Se desconoce,2017,25.0,1.0,0.0,18.0,5.0,1.0,42.0,0.0,42.0,14.0,0.0,0.0,10.0,4.0,0.0,1.0,313.0,70.0,116.0,8.0,13.0,24.0,11.0,5.0,0.0,5.0,7.0,22.0,0.0,57.0,1.0,0.0,29.0,27.0,0.0,25.0,2.0,1.0,0.0,22.0,589.0,0.0,11.0
Edad desconocida,Se desconoce,2016,18.0,0.0,0.0,10.0,8.0,0.0,36.0,2.0,34.0,14.0,0.0,0.0,11.0,2.0,1.0,0.0,271.0,53.0,92.0,8.0,11.0,18.0,9.0,2.0,0.0,6.0,11.0,28.0,3.0,57.0,4.0,0.0,17.0,15.0,1.0,13.0,1.0,5.0,0.0,28.0,594.0,0.0,3.0
Edad desconocida,Se desconoce,2015,41.0,0.0,0.0,12.0,9.0,20.0,31.0,4.0,27.0,10.0,0.0,0.0,8.0,0.0,2.0,1.0,299.0,68.0,88.0,15.0,15.0,13.0,9.0,0.0,0.0,4.0,6.0,25.0,2.0,64.0,10.0,3.0,26.0,19.0,0.0,19.0,0.0,5.0,1.0,13.0,794.0,0.0,12.0
Edad desconocida,Se desconoce,2014,85.0,0.0,0.0,21.0,10.0,54.0,18.0,2.0,16.0,10.0,1.0,0.0,5.0,2.0,2.0,1.0,426.0,113.0,137.0,15.0,18.0,37.0,9.0,4.0,2.0,0.0,10.0,21.0,4.0,91.0,10.0,0.0,35.0,17.0,2.0,14.0,1.0,5.0,3.0,5.0,1017.0,0.0,9.0
Edad desconocida,Se desconoce,2013,54.0,0.0,0.0,12.0,4.0,38.0,35.0,1.0,34.0,7.0,0.0,0.0,3.0,1.0,3.0,2.0,5015.0,2404.0,823.0,276.0,103.0,184.0,40.0,6.0,1.0,30.0,82.0,361.0,10.0,775.0,305.0,1.0,224.0,34.0,2.0,22.0,10.0,23.0,3.0,6.0,974.0,0.0,12.0
Edad desconocida,Se desconoce,2012,99.0,0.0,0.0,16.0,3.0,80.0,34.0,1.0,33.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,4949.0,1897.0,1071.0,286.0,123.0,224.0,60.0,23.0,3.0,28.0,120.0,441.0,13.0,1045.0,59.0,0.0,256.0,42.0,2.0,26.0,14.0,16.0,6.0,14.0,1207.0,0.0,26.0
Edad desconocida,Se desconoce,2011,101.0,1.0,0.0,28.0,4.0,68.0,80.0,3.0,77.0,19.0,0.0,0.0,8.0,2.0,9.0,6.0,5434.0,2074.0,1280.0,431.0,85.0,256.0,69.0,19.0,1.0,36.0,213.0,550.0,9.0,1091.0,12.0,0.0,145.0,57.0,6.0,39.0,12.0,31.0,3.0,16.0,1532.0,0.0,29.0
Edad desconocida,Se desconoce,2010,145.0,3.0,0.0,20.0,9.0,113.0,62.0,2.0,60.0,18.0,1.0,0.0,8.0,1.0,8.0,11.0,7090.0,2702.0,1804.0,600.0,180.0,362.0,71.0,27.0,1.0,40.0,248.0,682.0,105.0,1295.0,146.0,4.0,138.0,100.0,17.0,62.0,21.0,66.0,8.0,37.0,1270.0,0.0,28.0
